"X","Y","juos","elev","slp","asp","point.ID","poly.ID","mukey","taxorder","taxsuborde","taxgrtgrou","taxsubgrp","subord","grtgrp","c_order","c_sbord","c_ggrp","phmin","phave","phmax","frag3to10","sieveno4","sieveno10","sieveno40","sieveno200","sand","silt","clay","omr","dryweight","ksat","awc","wsat","minalogy","reaction","ph_ave","frag_3to10","sieve_4","sieve_10","sieve_40","sieve_200","sand_txt","silt_txt","clay_txt","orgmat","dwieght","ksat_txt","awc_txt","wsat_txt","minerals","calcereous"
-109.948874,39.837094,0,1635,2.70718383789062,178.363418579102,308,1229,"674395",NA,NA,NA,NA,"non","non",100,100,100,740,852,960,10,64,57,48,35,45,34,20,133,0,0,0,0,"mixed","calcareous","852","10","64","57","48","35","45","34","20","133",NA,NA,NA,"na","mixed","calcareous"
-108.850237,39.839895,1,2208,3.25562453269958,85.6430282592773,309,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-109.715175,39.834741,0,1669,2.33095026016235,26.3950347900391,310,1228,"674395",NA,NA,NA,NA,"non","non",100,100,100,740,852,960,10,64,57,48,35,45,34,20,133,0,0,0,0,"mixed","calcareous","852","10","64","57","48","35","45","34","20","133",NA,NA,NA,"na","mixed","calcareous"
-109.072876,39.825732,1,1927,3.42177510261536,3.36646056175232,311,685,"674285","Aridisols","Calcids","Haplocalcids","Lithic Ustic Haplocalcids","Cal","Hap",103,105,120,660,821,900,5,71,70,63,48,41,35,24,165,153,2822,10,22,"mixed","calcareous","821","5","71","70","63","48","41","35","24","165","153","2822","10","22","mixed","calcareous"
-108.605654,39.817083,1,2213,9.12378025054932,241.085784912109,312,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-108.255513,39.809383,1,2024,1.90794384479523,19.169469833374,313,769,"659509","Aridisols","Cambids","Haplocambids","Ustic Haplocambids","Cam","Hap",103,106,120,660,793,900,6,83,78,64,50,48,33,18,87,136,2822,14,46,"mixed",NA,"793","6","83","78","64","50","48","33","18","87","136","2822","14","46","mixed",NA
-108.13878,39.806561,1,1986,1.90330111980438,275.363067626953,314,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-107.86254,39.806545,0,2649,6.63025856018066,28.9770202636719,315,752,"659512","Mollisols","Cryolls","Haplocryolls","Pachic Haplocryolls","Cry","Hap",107,107,120,560,695,840,13,91,87,79,59,43,32,25,191,0,917,20,0,"mixed",NA,"695","13","91","87","79","59","43","32","25","191",NA,"917","20","na","mixed",NA
-107.687409,39.810666,0,2824,0.950639247894287,236.956588745117,316,762,"659511","Mollisols","Cryolls","Argicryolls","Pachic Argicryolls","Cry","Arg",107,107,103,610,698,780,10,81,76,67,56,37,36,28,350,147,917,17,39,"smectitic",NA,"698","10","81","76","67","56","37","36","28","350","147","917","17","39","smectitic",NA
-111.175838,39.796757,0,NA,NA,NA,317,471,"674397","Mollisols","Ustolls","Argiustolls","Lithic Argiustolls","Ust","Arg",107,125,103,560,756,900,7,91,88,77,59,42,34,24,468,144,917,16,46,"mixed",NA,"756","7","91","88","77","59","42","34","24","468","144","917","16","46","mixed",NA
-110.942317,39.796794,0,2278,6.72016429901123,63.8167190551758,318,474,"674394","Alfisols","Cryalfs","Glossocryalfs","Eutric Glossocryalfs","Cry","Glo",101,107,118,560,740,900,8,90,87,77,59,42,35,23,586,126,917,16,47,"not used",NA,"740","8","90","87","77","59","42","35","23","586","126","917","16","47","not used",NA
-110.708708,39.796442,0,2467,6.68685102462769,238.470321655273,319,476,"674396","Inceptisols","Ustepts","Haplustepts","Typic Haplustepts","Ust","Hap",106,125,120,610,784,900,21,81,76,63,45,48,33,19,303,157,2328,5,10,"mixed","calcareous","784","21","81","76","63","45","48","33","19","303","157","2328","5","10","mixed","calcareous"
-110.591885,39.79609,0,2332,1.59750723838806,29.9169406890869,320,469,"674394","Alfisols","Cryalfs","Glossocryalfs","Eutric Glossocryalfs","Cry","Glo",101,107,118,560,740,900,8,90,87,77,59,42,35,23,586,126,917,16,47,"not used",NA,"740","8","90","87","77","59","42","35","23","586","126","917","16","47","not used",NA
-110.533486,39.795915,1,2251,6.2698187828064,203.161605834961,321,473,"674393","Inceptisols","Ustepts","Haplustepts","Aridic Lithic Haplustepts","Ust","Hap",106,125,120,660,829,960,20,68,62,54,41,44,34,23,257,128,2822,13,37,"mixed","calcareous","829","20","68","62","54","41","44","34","23","257","128","2822","13","37","mixed","calcareous"
-110.066342,39.793049,1,1678,5.24044990539551,331.699249267578,322,473,"674393","Inceptisols","Ustepts","Haplustepts","Aridic Lithic Haplustepts","Ust","Hap",106,125,120,660,829,960,20,68,62,54,41,44,34,23,257,128,2822,13,37,"mixed","calcareous","829","20","68","62","54","41","44","34","23","257","128","2822","13","37","mixed","calcareous"
-109.482495,39.786882,1,1912,2.73170042037964,272.433197021484,323,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.424099,39.786076,1,1787,2.31719899177551,336.600555419922,324,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-108.454911,39.786942,1,2156,2.90810537338257,76.0006942749023,325,753,"659508","Mollisols","Ustolls","Haplustolls","Lithic Haplustolls","Ust","Hap",107,125,120,660,789,900,10,73,67,56,43,48,33,18,136,127,2328,13,40,"mixed","calcareous","789","10","73","67","56","43","48","33","18","136","127","2328","13","40","mixed","calcareous"
-109.248689,39.78348,1,1834,1.08867466449738,50.7678871154785,326,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-110.743814,39.769504,0,2418,3.18980693817139,8.64060688018799,327,471,"674397","Mollisols","Ustolls","Argiustolls","Lithic Argiustolls","Ust","Arg",107,125,103,560,756,900,7,91,88,77,59,42,34,24,468,144,917,16,46,"mixed",NA,"756","7","91","88","77","59","42","34","24","468","144","917","16","46","mixed",NA
-108.840541,39.776705,1,2247,6.80535316467285,95.9105911254883,328,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-108.723778,39.774455,1,2142,3.22746920585632,35.2505645751953,329,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-108.373927,39.767102,1,2217,2.49007081985474,334.230682373047,330,753,"659508","Mollisols","Ustolls","Haplustolls","Lithic Haplustolls","Ust","Hap",107,125,120,660,789,900,10,73,67,56,43,48,33,18,136,127,2328,13,40,"mixed","calcareous","789","10","73","67","56","43","48","33","18","136","127","2328","13","40","mixed","calcareous"
-108.257279,39.764374,1,2122,4.20525407791138,314.851165771484,331,753,"659508","Mollisols","Ustolls","Haplustolls","Lithic Haplustolls","Ust","Hap",107,125,120,660,789,900,10,73,67,56,43,48,33,18,136,127,2328,13,40,"mixed","calcareous","789","10","73","67","56","43","48","33","18","136","127","2328","13","40","mixed","calcareous"
-108.140659,39.761513,0,2246,3.78963255882263,301.324340820312,332,753,"659508","Mollisols","Ustolls","Haplustolls","Lithic Haplustolls","Ust","Hap",107,125,120,660,789,900,10,73,67,56,43,48,33,18,136,127,2328,13,40,"mixed","calcareous","789","10","73","67","56","43","48","33","18","136","127","2328","13","40","mixed","calcareous"
-107.802314,39.762994,0,2804,2.29460835456848,160.099380493164,333,762,"659511","Mollisols","Cryolls","Argicryolls","Pachic Argicryolls","Cry","Arg",107,107,103,610,698,780,10,81,76,67,56,37,36,28,350,147,917,17,39,"smectitic",NA,"698","10","81","76","67","56","37","36","28","350","147","917","17","39","smectitic",NA
-107.569073,39.768377,0,2833,0.771292567253113,346.660736083984,334,762,"659511","Mollisols","Cryolls","Argicryolls","Pachic Argicryolls","Cry","Arg",107,107,103,610,698,780,10,81,76,67,56,37,36,28,350,147,917,17,39,"smectitic",NA,"698","10","81","76","67","56","37","36","28","350","147","917","17","39","smectitic",NA
-107.977174,39.758599,1,2315,2.91703653335571,15.8411083221436,335,758,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-111.292549,39.75139,0,2613,1.4204466342926,122.997703552246,336,475,"674525","Mollisols","Cryolls","Argicryolls","Pachic Argicryolls","Cry","Arg",107,107,103,450,705,960,17,67,62,54,43,46,32,22,338,126,917,17,50,"not used",NA,"705","17","67","62","54","43","46","32","22","338","126","917","17","50","not used",NA
-110.417094,39.750292,0,2425,2.07894110679626,53.4711456298828,337,473,"674393","Inceptisols","Ustepts","Haplustepts","Aridic Lithic Haplustepts","Ust","Hap",106,125,120,660,829,960,20,68,62,54,41,44,34,23,257,128,2822,13,37,"mixed","calcareous","829","20","68","62","54","41","44","34","23","257","128","2822","13","37","mixed","calcareous"
-110.30033,39.74962,1,2350,3.02947044372559,136.654296875,338,477,"674498","Inceptisols","Ustepts","Haplustepts","Aridic Lithic Haplustepts","Ust","Hap",106,125,120,660,801,900,26,74,69,58,43,48,30,22,266,128,2822,13,37,"mixed",NA,"801","26","74","69","58","43","48","30","22","266","128","2822","13","37","mixed",NA
-110.241959,39.749424,1,2202,7.41336584091187,200.91796875,339,473,"674393","Inceptisols","Ustepts","Haplustepts","Aridic Lithic Haplustepts","Ust","Hap",106,125,120,660,829,960,20,68,62,54,41,44,34,23,257,128,2822,13,37,"mixed","calcareous","829","20","68","62","54","41","44","34","23","257","128","2822","13","37","mixed","calcareous"
-109.71685,39.744661,0,1806,0.890571594238281,325.619659423828,340,1228,"674395",NA,NA,NA,NA,"non","non",100,100,100,740,852,960,10,64,57,48,35,45,34,20,133,0,0,0,0,"mixed","calcareous","852","10","64","57","48","35","45","34","20","133",NA,NA,NA,"na","mixed","calcareous"
-109.658505,39.744001,0,1799,2.66047668457031,54.4623222351074,341,1228,"674395",NA,NA,NA,NA,"non","non",100,100,100,740,852,960,10,64,57,48,35,45,34,20,133,0,0,0,0,"mixed","calcareous","852","10","64","57","48","35","45","34","20","133",NA,NA,NA,"na","mixed","calcareous"
-109.483469,39.741981,1,1895,0.898066699504852,22.8097114562988,342,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.250153,39.73859,1,1964,1.78329658508301,57.7575340270996,343,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.133704,39.737174,1,2069,1.93408298492432,8.97262668609619,344,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.016906,39.734706,1,1874,1.94932162761688,270.909393310547,345,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-108.958614,39.733768,1,1918,1.49172055721283,335.16259765625,346,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-108.725329,39.729467,0,2515,1.03253602981567,29.6383838653564,347,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-108.608702,39.727102,0,2342,6.65412521362305,129.457397460938,348,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-107.509101,39.724574,0,2948,2.61806535720825,249.42414855957,349,774,"659511","Mollisols","Cryolls","Argicryolls","Pachic Argicryolls","Cry","Arg",107,107,103,610,698,780,10,81,76,67,56,37,36,28,350,147,917,17,39,"smectitic",NA,"698","10","81","76","67","56","37","36","28","350","147","917","17","39","smectitic",NA
-110.942405,39.706755,1,2236,5.73600292205811,184.0087890625,350,480,"674396","Inceptisols","Ustepts","Haplustepts","Typic Haplustepts","Ust","Hap",106,125,120,610,784,900,21,81,76,63,45,48,33,19,303,157,2328,5,10,"mixed","calcareous","784","21","81","76","63","45","48","33","19","303","157","2328","5","10","mixed","calcareous"
-110.884067,39.706648,1,2111,5.47599077224731,127.7900390625,351,480,"674396","Inceptisols","Ustepts","Haplustepts","Typic Haplustepts","Ust","Hap",106,125,120,610,784,900,21,81,76,63,45,48,33,19,303,157,2328,5,10,"mixed","calcareous","784","21","81","76","63","45","48","33","19","303","157","2328","5","10","mixed","calcareous"
-110.534117,39.70577,0,2484,5.8295521736145,174.078262329102,352,478,"674497","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,660,764,840,9,66,60,53,39,49,33,18,450,147,2822,7,23,"mixed","calcareous","764","9","66","60","53","39","49","33","18","450","147","2822","7","23","mixed","calcareous"
-110.300749,39.704716,1,2438,8.72996807098389,168.433135986328,353,477,"674498","Inceptisols","Ustepts","Haplustepts","Aridic Lithic Haplustepts","Ust","Hap",106,125,120,660,801,900,26,74,69,58,43,48,30,22,266,128,2822,13,37,"mixed",NA,"801","26","74","69","58","43","48","30","22","266","128","2822","13","37","mixed",NA
-110.125762,39.704042,1,2076,4.49945688247681,158.454208374023,354,473,"674393","Inceptisols","Ustepts","Haplustepts","Aridic Lithic Haplustepts","Ust","Hap",106,125,120,660,829,960,20,68,62,54,41,44,34,23,257,128,2822,13,37,"mixed","calcareous","829","20","68","62","54","41","44","34","23","257","128","2822","13","37","mixed","calcareous"
-108.457847,39.705893,0,2535,1.3123517036438,16.0845756530762,355,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-109.950916,39.701989,1,1964,6.06704425811768,245.290954589844,356,1230,"674404","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,740,814,960,16,78,72,58,41,54,29,17,183,139,917,7,15,"mixed","calcareous","814","16","78","72","58","41","54","29","17","183","139","917","7","15","mixed","calcareous"
-109.892415,39.7015,1,1904,3.13094353675842,75.4148330688477,357,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.367981,39.695249,1,1875,2.42809367179871,122.779083251953,358,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-110.685852,39.688242,1,1979,8.83208179473877,139.58235168457,359,481,"674496","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,740,837,960,8,85,81,66,44,54,31,15,127,142,2822,13,43,"mixed","calcareous","837","8","85","81","66","44","54","31","15","127","142","2822","13","43","mixed","calcareous"
-108.901609,39.687741,1,2218,7.91107606887817,301.001953125,360,775,"659508","Mollisols","Ustolls","Haplustolls","Lithic Haplustolls","Ust","Hap",107,125,120,660,789,900,10,73,67,56,43,48,33,18,136,127,2328,13,40,"mixed","calcareous","789","10","73","67","56","43","48","33","18","136","127","2328","13","40","mixed","calcareous"
-109.041782,39.68118,1,2048,2.81536221504211,4.56764793395996,361,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-108.785083,39.685577,1,2285,8.1235818862915,267.505737304688,362,750,"659506","Inceptisols","Ustepts","Calciustepts","Lithic Calciustepts","Ust","Cal",106,125,104,660,822,900,12,64,59,50,40,45,34,21,143,143,2822,14,35,"mixed","calcareous","822","12","64","59","50","40","45","34","21","143","143","2822","14","35","mixed","calcareous"
-107.565798,39.678255,1,2074,15.7999229431152,216.930053710938,363,772,"659523","Mollisols","Cryolls","Haplocryolls","Calcic Haplocryolls","Cry","Hap",107,107,120,610,773,900,5,73,66,57,42,42,36,22,130,126,917,15,47,"mixed","calcareous","773","5","73","66","57","42","42","36","22","130","126","917","15","47","mixed","calcareous"
-108.31901,39.675742,0,2344,3.5075798034668,327.780517578125,364,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-108.202602,39.672977,0,2464,1.80406332015991,30.9637565612793,365,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-107.856899,39.671579,0,2052,3.39809799194336,64.5422592163086,366,777,"659520",NA,NA,NA,NA,"non","non",100,100,100,740,832,900,25,83,70,62,39,54,25,21,200,0,0,0,0,"not used",NA,"832","25","83","70","62","39","54","25","21","200",NA,NA,NA,"na","not used",NA
-107.798667,39.672899,1,2183,9.70694541931152,137.239471435547,367,776,"659525","Mollisols","Ustolls","Argiustolls","Typic Argiustolls","Ust","Arg",107,125,103,660,795,960,3,91,88,74,56,43,34,22,89,147,917,17,42,"mixed",NA,"795","3","91","88","74","56","43","34","22","89","147","917","17","42","mixed",NA
-111.175275,39.661361,0,2886,4.32643747329712,130.656753540039,368,474,"674394","Alfisols","Cryalfs","Glossocryalfs","Eutric Glossocryalfs","Cry","Glo",101,107,118,560,740,900,8,90,87,77,59,42,35,23,586,126,917,16,47,"not used",NA,"740","8","90","87","77","59","42","35","23","586","126","917","16","47","not used",NA
-111.059011,39.66164,1,2379,7.22689867019653,138.108032226562,369,480,"674396","Inceptisols","Ustepts","Haplustepts","Typic Haplustepts","Ust","Hap",106,125,120,610,784,900,21,81,76,63,45,48,33,19,303,157,2328,5,10,"mixed","calcareous","784","21","81","76","63","45","48","33","19","303","157","2328","5","10","mixed","calcareous"
-111.000721,39.661655,0,2108,2.25200867652893,142.815292358398,370,481,"674496","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,740,837,960,8,85,81,66,44,54,31,15,127,142,2822,13,43,"mixed","calcareous","837","8","85","81","66","44","54","31","15","127","142","2822","13","43","mixed","calcareous"
-110.884061,39.661597,1,1803,1.35941803455353,138.691390991211,371,481,"674496","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,740,837,960,8,85,81,66,44,54,31,15,127,142,2822,13,43,"mixed","calcareous","837","8","85","81","66","44","54","31","15","127","142","2822","13","43","mixed","calcareous"
-110.592529,39.661019,1,1922,2.67948055267334,263.039031982422,372,481,"674496","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,740,837,960,8,85,81,66,44,54,31,15,127,142,2822,13,43,"mixed","calcareous","837","8","85","81","66","44","54","31","15","127","142","2822","13","43","mixed","calcareous"
-107.483529,39.662144,0,2858,3.69081234931946,237.308013916016,373,764,"659522","Mollisols","Cryolls","Argicryolls","Pachic Argicryolls","Cry","Arg",107,107,103,560,664,840,4,83,76,66,53,40,38,23,241,136,917,15,44,"mixed",NA,"664","4","83","76","66","53","40","38","23","241","136","917","15","44","mixed",NA
-109.95161,39.656918,1,2012,3.26806950569153,258.955810546875,374,1231,"674400","Mollisols","Ustolls","Haplustolls","Lithic Haplustolls","Ust","Hap",107,125,120,740,833,900,10,61,57,52,41,39,41,20,201,130,917,13,39,"mixed","calcareous","833","10","61","57","52","41","39","41","20","201","130","917","13","39","mixed","calcareous"
-109.893341,39.656674,1,2114,1.30938518047333,324.619720458984,375,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.776719,39.655179,1,2001,1.91469955444336,46.3093910217285,376,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.660249,39.653921,1,2002,2.15182518959045,27.8544483184814,377,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.310681,39.649363,1,1960,0.913461983203888,271.941497802734,378,1227,"674399","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,780,845,960,8,60,54,44,31,49,34,17,142,146,2822,6,19,"mixed","calcareous","845","8","60","54","44","31","49","34","17","142","146","2822","6","19","mixed","calcareous"
-109.194563,39.648049,1,1941,4.28163909912109,225.584625244141,379,770,"674401","Mollisols","Ustolls","Haplustolls","Lithic Haplustolls","Ust","Hap",107,125,120,740,837,960,13,56,51,41,29,49,33,18,183,130,917,13,39,"mixed","calcareous","837","13","56","51","41","29","49","33","18","183","130","917","13","39","mixed","calcareous"
-108.728259,39.639469,0,2292,4.68370819091797,68.6370239257812,380,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-108.553625,39.635882,0,2557,5.5337085723877,75.963752746582,381,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-108.006067,39.641039,0,2591,2.19640374183655,199.328125,382,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-107.796785,39.627975,1,2072,12.6620378494263,190.458862304688,383,777,"659520",NA,NA,NA,NA,"non","non",100,100,100,740,832,900,25,83,70,62,39,54,25,21,200,0,0,0,0,"not used",NA,"832","25","83","70","62","39","54","25","21","200",NA,NA,NA,"na","not used",NA
-108.088076,39.6251,0,2379,9.20971488952637,154.758239746094,384,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-107.971413,39.623661,0,2642,2.89731431007385,290.94970703125,385,763,"659510","Mollisols","Cryolls","Haplocryolls","Lithic Haplocryolls","Cry","Hap",107,107,120,610,722,900,11,69,65,57,43,44,33,24,275,127,917,10,39,"mixed","calcareous","722","11","69","65","57","43","44","33","24","275","127","917","10","39","mixed","calcareous"
-111.058973,39.616588,0,2235,2.67223048210144,51.107177734375,386,481,"674496","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,740,837,960,8,85,81,66,44,54,31,15,127,142,2822,13,43,"mixed","calcareous","837","8","85","81","66","44","54","31","15","127","142","2822","13","43","mixed","calcareous"
-110.593284,39.615754,1,1871,2.8312566280365,216.337951660156,387,487,"674493","Entisols","Fluvents","Torrifluvents","Typic Torrifluvents","Flu","Tor",104,110,131,740,841,900,0,99,98,87,61,53,29,18,80,139,917,15,46,"mixed","calcareous","841","0","99","98","87","61","53","29","18","80","139","917","15","46","mixed","calcareous"
-110.418112,39.61508,1,2371,5.76802110671997,241.927505493164,388,478,"674497","Entisols","Orthents","Torriorthents","Lithic Ustic Torriorthents","Ort","Tor",104,115,131,660,764,840,9,66,60,53,39,49,33,18,450,147,2822,7,23,"mixed","calcareous","764","9","66","60","53","39","49","33","18","450","147","2822","7","23","mixed","calcareous"
-110.301774,39.61452,0,2892,3.18776893615723,209.486404418945,389,469,"674394","Alfisols","Cryalfs","Glossocryalfs","Eutric Glossocryalfs","Cry","Glo",101,107,118,560,740,900,8,90,87,77,59,42,35,23,586,126,917,16,47,"not used",NA,"740","8","90","87","77","59","42","35","23","586","126","917","16","47","not used",NA
-110.24352,39.614083,0,2675,1.92513000965118,135,390,477,"674498","Inceptisols","Ustepts","Haplustepts","Aridic Lithic Haplustepts","Ust","Hap",106,125,120,660,801,900,26,74,69,58,43,48,30,22,266,128,2822,13,37,"mixed",NA,"801","26","74","69","58","43","48","30","22","266","128","2822","13","37","mixed",NA
